#M log_10_prob bin hits hits/sum_hits
#sir_exec simple-sample --graph-type Sw 0.1 -n 3200 --samples 10000000 --transmission 0.1 -j24
0.0003125 2.89348353146332e0 1 2445304 2.44530791249266e-1
0.000625 2.5857919489594425e0 2 1204041 1.2040429264686824e-1
0.0009375 2.5385422575254215e0 3 1079920 1.0799217278747646e-1
0.00125 2.44483712195724e0 4 870335 8.70336392538228e-2
0.0015625 2.2949527063347523e0 5 616314 6.1631498610397774e-2
0.001875 2.150510053718705e0 6 441936 4.419367070987314e-2
0.0021875 2.0404777122681863e0 7 343026 3.4302654884247816e-2
0.0025 1.9570291755251374e0 8 283060 2.8306045289672465e-2
0.0028125 1.8879095272058817e0 9 241412 2.41412386259818e-2
0.003125 1.8256106185770542e0 10 209151 2.091513346421354e-2
0.0034375 1.7642115096361368e0 11 181577 1.8157729052366484e-2
0.00375 1.712308212742513e0 12 161123 1.6112325779721246e-2
0.0040625 1.6593493756167432e0 13 142626 1.4262622820196512e-2
0.004375 1.6146313493955256e0 14 128671 1.2867120587392939e-2
0.0046875 1.5691216801563956e0 15 115870 1.1587018539229662e-2
0.005 1.5298620496814483e0 16 105855 1.0585516936827098e-2
0.0053125 1.4870055077965776e0 17 95908 9.590815345304553e-3
0.005625 1.447396902435941e0 18 87548 8.754814007702413e-3
0.0059375 1.414391028936151e0 19 81141 8.114112982580772e-3
0.00625 1.3793192684605926e0 20 74846 7.484611975379161e-3
0.0065625 1.3454073638986093e0 21 69224 6.922411075857721e-3
0.006875 1.3159005404299866e0 22 64677 6.467710348336557e-3
0.0071875 1.281975301276486e0 23 59817 5.981709570735313e-3
0.0075 1.2527489002318286e0 24 55924 5.592408947854317e-3
0.0078125 1.2263262764682419e0 25 52623 5.262308419693471e-3
0.008125 1.2001154418947961e0 26 49541 4.954107926572682e-3
0.0084375 1.174523348179838e0 27 46706 4.670607472971957e-3
0.00875 1.144218603758739e0 28 43558 4.355806969291151e-3
0.0090625 1.11820984888115e0 29 41026 4.102606564170503e-3
0.009375 1.091771730008936e0 30 38603 3.8603061764898826e-3
0.0096875 1.0670983446087292e0 31 36471 3.6471058353693365e-3
0.01 1.0355552997844577e0 32 33916 3.3916054265686825e-3
0.0103125 1.015762698980803e0 33 32405 3.2405051848082957e-3
0.010625 9.928686641178204e-1 34 30741 3.0741049185678696e-3
0.010937500000000001 9.693122148905622e-1 35 29118 2.911804658887454e-3
0.01125 9.442306130605043e-1 36 27484 2.748404397447036e-3
0.0115625 9.157254697339607e-1 37 25738 2.573804118086589e-3
0.011875 8.886788073613938e-1 38 24184 2.4184038694461912e-3
0.0121875 8.655357874962699e-1 39 22929 2.29290366864587e-3
0.0125 8.383157157355163e-1 40 21536 2.153603445765513e-3
0.012812500000000001 8.124755268369994e-1 41 20292 2.029203246725195e-3
0.013125 7.835383984009154e-1 42 18984 1.8984030374448598e-3
0.0134375 7.569834918202729e-1 43 17858 1.7858028572845716e-3
0.01375 7.322400114206986e-1 44 16869 1.6869026990443184e-3
0.0140625 7.02238168641522e-1 45 15743 1.5743025188840302e-3
0.014375 6.694440325060955e-1 46 14598 1.4598023356837372e-3
0.014687500000000001 6.37186111519132e-1 47 13553 1.3553021684834696e-3
0.015 6.148979109048613e-1 48 12875 1.287502060003296e-3
0.0153125 5.859935320261944e-1 49 12046 1.2046019273630837e-3
0.015625 5.602613110457795e-1 50 11353 1.1353018164829065e-3
0.0159375 5.221840124904138e-1 51 10400 1.0400016640026623e-3
0.01625 4.8782886657511737e-1 52 9609 9.609015374424599e-4
0.0165625 4.635712012441511e-1 53 9087 9.087014539223263e-4
0.016875 4.2880909498493924e-1 54 8388 8.388013420821474e-4
0.0171875 3.989678971590962e-1 55 7831 7.831012529620048e-4
0.0175 3.624228467556745e-1 56 7199 7.199011518418429e-4
0.017812500000000002 3.215908411477719e-1 57 6553 6.553010484816776e-4
0.018125 2.882678106821004e-1 58 6069 6.069009710415537e-4
0.0184375 2.595754624688915e-1 59 5681 5.681009089614544e-4
0.01875 2.2597125496197723e-1 60 5258 5.25800841281346e-4
0.0190625 1.8530481492600615e-1 61 4788 4.7880076608122573e-4
0.019375 1.532178026405675e-1 62 4447 4.447007115211384e-4
0.0196875 1.0185770287307916e-1 63 3951 3.951006321610115e-4
0.02 6.898759185617775e-2 64 3663 3.6630058608093775e-4
0.0203125 3.7395316818215285e-2 65 3406 3.4060054496087193e-4
0.020625 -1.5130091368795728e-2 66 3018 3.018004828807726e-4
0.0209375 -3.651370081641936e-2 67 2873 2.8730045968073547e-4
0.02125 -8.694878666573169e-2 68 2558 2.5580040928065487e-4
0.021562500000000002 -1.2619061441614e-1 69 2337 2.3370037392059828e-4
0.021875000000000002 -1.5959207037383516e-1 70 2164 2.16400346240554e-4
